title,air date,description
surprising falls,1988-03-02,
shadow pond,1988-03-09,
misty forest,1988-03-16,
natural wonder,1988-03-23,
splendor of winter,1988-04-27,
colors of nature,1988-05-04,
grandpa's barn,1988-05-11,
peaceful reflections,1988-05-18,
hidden winter moon oval,1988-05-25,
waves of wonder,1988-06-01,
cabin by the pond,1988-06-08,
fall stream,1988-06-15,
christmas eve snow,1988-06-22,
forest dawn oval,1988-06-29,
pathway to autumn,1988-07-06,
deep forest lake,1988-07-13,
peaks of majesty,1988-07-20,
two seasons,1988-08-17,
nestled cabin,1988-08-24,
wintertime discovery,1988-08-31,
mountain mirage,1988-09-07,
double oval fantasy,1988-09-14,
contemplative lady,1988-09-21,
deep woods,1988-09-28,
high tide,1988-10-05,
barn in snow oval,1988-10-12,
that time of year,1988-10-19,
mighty mountain lake,1988-11-02,
wooded stream oval,1988-11-09,
golden mist oval,1989-01-04,
old place home,1989-01-11,
soothing vista,1989-01-18,
stormy seas,1989-01-25,
country time,1989-02-01,
a mild winter's day,1989-02-08,
spectacular waterfall,1989-02-15,
view from the park,1989-02-22,
lake view,1989-03-01,
old country mill,1989-03-08,
morning walk,1989-03-15,
nature's splendor,1989-03-22,
mountain beauty,1989-03-29,
half oval vignette,1989-07-05,
absolutely autumn,1989-07-12,
mountain seclusion,1989-07-19,
crimson oval,1989-07-26,
autumn exhibition,1989-08-02,
majestic peaks,1989-08-09,
golden morning mist,1989-08-16,
winter lace,1989-08-23,
seascape fantasy,1989-08-30,
double oval stream,1989-09-06,
enchanted forest,1989-09-13,
southwest serenity,1989-09-20,
rippling waters,1989-09-27,
snowfall magic,1990-01-03,
quiet mountain lake,1990-01-10,
final embers of sunlight,1990-01-17,
snowy morn,1990-01-24,
camper's haven,1990-01-31,
waterfall in the woods,1990-02-07,
covered bridge oval,1990-02-14,
scenic seclusion,1990-02-21,
ebb tide,1990-02-28,
after the rain,1990-03-07,
winter elegance,1990-03-14,
evening's peace,1990-03-21,
valley of tranquility,1990-03-28,
mystic mountain,1990-04-04,
new day's dawn,1990-04-11,
pastel winter,1990-04-18,
hazy day,1990-04-25,
divine elegance,1990-05-02,
cliffside,1990-05-09,
autumn fantasy,1990-05-16,
old oak tree,1990-05-23,
winter paradise,1990-05-30,
days gone by,1990-06-06,
change of seasons,1990-06-13,
hidden delight,1990-06-20,
double take,1990-06-27,
valley view,1990-09-05,
tranquil dawn,1990-09-12,
royal majesty,1990-09-19,
serenity,1990-09-26,
cabin at trial's end,1990-10-03,
mountain rhapsody,1990-10-10,
wilderness cabin,1990-10-17,
by the sea,1990-10-24,
indian summer,1990-10-31,
blue winter,1990-11-07,
desert glow,1990-11-14,
lone mountain,1990-11-21,
florida's glory,1990-11-28,
autumn images,1991-01-01,
hint of springtime,1991-01-08,
around the bend,1991-01-15,
countryside oval,1991-01-22,
russet winter,1991-01-29,
purple haze,1991-02-05,
dimensions,1991-02-12,
deep wilderness home,1991-02-19,
haven in the valley,1991-02-26,
wintertime blues,1991-03-05,
pastel seascape,1991-03-12,
country creek,1991-03-19,
silent forest,1991-03-26,
frosty winter morn,1991-09-03,
forest edge,1991-09-10,
mountain ridge lake,1991-09-17,
reflections of gold,1991-09-24,
quiet cove,1991-10-01,
river's peace,1991-10-08,
at dawn's light,1991-10-15,
valley waterfall,1991-10-22,
toward day's end,1991-10-29,
falls in the glen,1991-11-05,
frozen beauty in vignette,1991-11-12,
crimson tide,1991-11-19,
winter bliss,1991-11-26,
grey mountain,1992-01-07,
wayside pond,1992-01-14,
teton winter,1992-01-21,
little home in the meadow,1992-01-28,
pretty autumn day,1992-02-04,
mirrored images,1992-02-11,
back-country path,1992-02-18,
graceful waterfall,1992-02-25,
icy lake,1992-03-03,
rowboat on the beach,1992-03-10,
portrait of winter,1992-03-17,
footbridge,1992-03-24,
snowbound cabin,1992-03-31,
hide-a-way cove,1992-08-25,
enchanted falls oval,1992-09-01,
not quite spring,1992-09-08,
splashes of autumn,1992-09-15,
summer in the mountains,1992-09-22,
oriental falls,1992-09-29,
autumn palette,1992-10-06,
cypress swamp,1992-10-13,
downstream view,1992-10-20,
just before the storm,1992-10-27,
fisherman's paradise,1992-11-03,
desert hues,1992-11-10,
the property line,1992-11-17,
in the stillness of morning,1992-12-01,
delightful meadow home,1992-12-08,
first snow,1992-12-15,
lake in the valley,1992-12-22,
a trace of spring,1992-12-29,
an arctic winter day,1993-01-05,
snow birch,1993-01-12,
early autumn,1993-01-19,
tranquil wooded stream,1993-01-26,
purple mountain range,1993-02-02,
storm's a comin',1993-02-09,
sunset aglow,1993-02-16,
evening at the falls,1993-02-23,
twilight beauty,1993-03-02,
angler's haven,1993-03-09,
rustic winter woods,1993-03-16,
wilderness falls,1993-03-23,
winter at the farm,1993-03-30,
daisies at dawn,1993-04-06,
a spectacular view,1993-04-13,
daybreak,1993-04-20,
island paradise,1993-04-27,
sunlight in the shadows,1993-05-04,
splendor of a snowy winter,1993-05-11,
forest river,1993-05-18,
golden glow of morning,1993-05-20,
fisherman's trail,1993-05-25,"after painting the canvas to resemble wood, ross paints a landscape with the titular trail, plus mountains, trees, water, and shrubbery, but no sky."
a warm winter,1993-06-01,
under pastel skies,1993-06-08,
golden rays of sunlight,1993-06-15,
the magic of fall,1993-06-22,
glacier lake,1993-06-29,
the old weathered barn,1993-07-06,
deep forest falls,1993-07-13,
winter's grace,1993-07-20,
splendor of autumn,1993-07-27,
tranquil seas,1993-08-03,
mountain serenity,1993-08-10,
home before nightfall,1993-08-17,
island in the wilderness,1993-08-24,
autumn oval,1993-08-31,
seasonal progression,1993-09-07,
light at the summit,1993-09-14,
countryside barn,1993-09-21,
mountain lake falls,1993-09-28,
cypress creek,1993-10-05,
trapper's cabin,1993-10-12,
storm on the horizon,1993-10-19,
pot o' posies,1993-10-26,
a perfect winter day,1993-11-02,
aurora's dance,1993-11-09,
woodsman's retreat,1993-11-16,
babbling brook,1993-11-23,
woodgrain view,1993-11-30,
winter's peace,1993-12-07,
wilderness trail,1993-12-14,
a copper winter,1993-12-21,
misty foothills,1993-12-28,
through the window,1994-01-04,
home in the valley,1994-01-11,
seaside harmony,1994-01-25,
a cold spring day,1994-02-01,
evening's glow,1994-02-08,
blue ridge falls,1994-02-15,
reflections of calm,1994-02-22,
before the snowfall,1994-03-01,
winding stream,1994-03-08,
tranquility cove,1994-03-15,
cabin in the hollow,1994-03-22,
view from clear creek,1994-03-29,
bridge to autumn,1994-04-05,
trail's end,1994-04-12,
evergreen valley,1994-04-19,
balmy beach,1994-04-26,
lake at the ridge,1994-05-03,
in the midst of winter,1994-05-10,
wilderness day,1994-05-17,
